| rem | px |
| --- | --- |
| 1 | 16 |
| 2 | 32 |
| 3 | 48 |
| 4 | 64 |
| 5 | 80 |
| 6 | 96 |
| 7 | 112 |
| 8 | 128 |
| 9 | 144 |
| 10 | 160 |
| 11 | 176 |
| 12 | 192 |
| 13 | 208 |
| 14 | 224 |
| 15 | 240 |
| 16 | 256 |
| 17 | 272 |
| 18 | 288 |
| 19 | 304 |
| 20 | 320 |
| 21 | 336 |
| 22 | 352 |
| 23 | 368 |
| 24 | 384 |
| 25 | 400 |
| 26 | 416 |
| 27 | 432 |
| 28 | 448 |
| 29 | 464 |
| 30 | 480 |
| 31 | 496 |
| 32 | 512 |
| 33 | 528 |
| 34 | 544 |
| 35 | 560 |
| 36 | 576 |
| 37 | 592 |
| 38 | 608 |
| 39 | 624 |
| 40 | 640 |
| 41 | 656 |
| 42 | 672 |
| 43 | 688 |
| 44 | 704 |
| 45 | 720 |
| 46 | 736 |
| 47 | 752 |
| 48 | 768 |
| 49 | 784 |
| 50 | 800 |
| 51 | 816 |
| 52 | 832 |
| 53 | 848 |
| 54 | 864 |
| 55 | 880 |
| 56 | 896 |
| 57 | 912 |
| 58 | 928 |
| 59 | 944 |
| 60 | 960 |
| 61 | 976 |
| 62 | 992 |
| 63 | 1008 |
| 64 | 1024 |
| 65 | 1040 |
| 66 | 1056 |
| 67 | 1072 |
| 68 | 1088 |
| 69 | 1104 |
| 70 | 1120 |
| 71 | 1136 |
| 72 | 1152 |
| 73 | 1168 |
| 74 | 1184 |
| 75 | 1200 |
| 76 | 1216 |
| 77 | 1232 |
| 78 | 1248 |
| 79 | 1264 |
| 80 | 1280 |
| 81 | 1296 |
| 82 | 1312 |
| 83 | 1328 |
| 84 | 1344 |
| 85 | 1360 |
| 86 | 1376 |
| 87 | 1392 |
| 88 | 1408 |
| 89 | 1424 |
| 90 | 1440 |
| 91 | 1456 |
| 92 | 1472 |
| 93 | 1488 |
| 94 | 1504 |
| 95 | 1520 |
| 96 | 1536 |
| 97 | 1552 |
| 98 | 1568 |
| 99 | 1584 |
| 100 | 1600 |
